,corebeadsFL_FS,,corebeadsFL_A,,,,,FSFL_FS,,FSFL_A,,AFL_FS,,AFL_A,,,FS_A_FL_vector
1567.00 ,1567.00 ,30029.00 ,30029.00 ,,,,1510.00 ,1510.00 ,749.00 ,749.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,31171.00 
1452.00 ,1452.00 ,60514.00 ,60514.00 ,,,,1510.00 ,1510.00 ,749.00 ,749.00 ,475.00 ,475.00 ,127072.00 ,127072.00 ,,,127084.07 
1916.00 ,1916.00 ,242031.00 ,242031.00 ,,,,1510.00 ,1510.00 ,749.00 ,749.00 ,888.00 ,888.00 ,263538.00 ,263538.00 ,,,263544.89 
2186.00 ,2186.00 ,3575.00 ,3575.00 ,,,,2436.00 ,2436.00 ,1197.00 ,1197.00 ,48.00 ,48.00 ,3638.00 ,3638.00 ,,,4539.19 
2182.00 ,2182.00 ,6277.00 ,6277.00 ,,,,2436.00 ,2436.00 ,1197.00 ,1197.00 ,61.00 ,61.00 ,7449.00 ,7449.00 ,,,7928.32 
2322.00 ,2322.00 ,12909.00 ,12909.00 ,,,,2436.00 ,2436.00 ,1197.00 ,1197.00 ,96.00 ,96.00 ,16071.00 ,16071.00 ,,,16298.87 
2354.00 ,2354.00 ,26410.00 ,26410.00 ,,,,2436.00 ,2436.00 ,1197.00 ,1197.00 ,156.00 ,156.00 ,31125.00 ,31125.00 ,,,31243.51 
2318.00 ,2318.00 ,57547.00 ,57547.00 ,,,,2436.00 ,2436.00 ,1197.00 ,1197.00 ,266.00 ,266.00 ,63914.00 ,63914.00 ,,,63972.16 
2131.00 ,2131.00 ,86331.00 ,86331.00 ,,,,2436.00 ,2436.00 ,1197.00 ,1197.00 ,475.00 ,475.00 ,127072.00 ,127072.00 ,,,127101.87 
1931.00 ,1931.00 ,111482.00 ,111482.00 ,,,,1499.00 ,1499.00 ,733.00 ,733.00 ,694.00 ,694.00 ,235846.00 ,235846.00 ,,,235852.92 
