FSFL_vector,AFL_vector,FSFL_AFL_vector,,corebeadsFL_vector,,,corebeadsFL_FS,corebeadsFL_A
8812.364325,31125.39094,32348.84428,,45626.6158,8138,44895,8138.00 ,44895.00 
8812.364325,63914.55352,64519.2058,,79162.33085,7720,78785,7720.00 ,78785.00 
8812.364325,127072.8878,127378.0852,,131513.2694,7164,131318,7164.00 ,131318.00 
19622.94269,3638.316644,19957.3853,,22685.09237,17354,14610,17354.00 ,14610.00 
19622.94269,7449.249761,20989.31161,,24768.05525,16320,18631,16320.00 ,18631.00 
19622.94269,16071.28673,25364.2689,,32470.54188,16743,27821,16743.00 ,27821.00 
19622.94269,31125.39094,36794.69854,,47693.73837,16626,44702,16626.00 ,44702.00 
19622.94269,63914.55352,66859.03104,,83560.51011,14499,82293,14499.00 ,82293.00 
19622.94269,127072.8878,128579.0756,,132635.2493,13775,131918,13775.00 ,131918.00 
13517.42239,235847.0211,236234.0747,,224392.5011,10515,224146,10515.00 ,224146.00 
19622.94269,263539.4961,264269.0407,,341370.2528,9644,341234,9644.00 ,341234.00 
66968.05359,16071.28673,68869.48859,,38035.8216,23021,30278,23021.00 ,30278.00 
66968.05359,31125.39094,73847.8853,,72470.1197,39349,60857,39349.00 ,60857.00 
66968.05359,263539.4961,271915.0349,,134579.3837,38690,128898,38690.00 ,128898.00 
55528.77125,31125.39094,63657.16297,,113537.8201,59081,96955,59081.00 ,96955.00 
55528.77125,63914.55352,84667.0809,,164665.4315,58554,153903,58554.00 ,153903.00 
55528.77125,127072.8878,138675.7486,,273657.4466,49540,269136,49540.00 ,269136.00 
55528.77125,263539.4961,269326.03,,433895.5914,40514,432000,40514.00 ,432000.00 
27313.56837,263539.4961,264951.1219,,260198.055,18703,259525,18703.00 ,259525.00 
6721.715555,263539.4961,263625.2026,,190396.7084,5844,190307,5844.00 ,190307.00 
3348.741256,263539.4961,263560.7711,,178483.5096,3300,178453,3300.00 ,178453.00 
1685.556585,63914.55352,63936.77543,,49895.92739,1577,49871,1577.00 ,49871.00 
5629.972025,2043.452471,5989.347461,,7163.646069,5324,4793,5324.00 ,4793.00 
5629.972025,7449.249761,9337.446493,,11087.65462,5274,9753,5274.00 ,9753.00 
5629.972025,16071.28673,17028.88259,,18100.55391,5304,17306,5304.00 ,17306.00 
5629.972025,31125.39094,31630.46864,,30273.46741,5277,29810,5277.00 ,29810.00 
5629.972025,63914.55352,64162.03501,,50527.65726,4812,50298,4812.00 ,50298.00 
5629.972025,136638.9002,136754.8377,,128489.2555,4455,128412,4455.00 ,128412.00 
